"filename", "language", "JavaScript", "HTML", "JSON", "Markdown", "CSS", "PHP", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\forms\_validation.scss", "SCSS", 0, 0, 0, 0, 0, 0, 3, 0, 8, 2, 13
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\helpers\_clearfix.scss", "SCSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\helpers\_colored-links.scss", "SCSS", 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\helpers\_position.scss", "SCSS", 0, 0, 0, 0, 0, 0, 24, 0, 2, 5, 31
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\helpers\_ratio.scss", "SCSS", 0, 0, 0, 0, 0, 0, 21, 0, 1, 5, 27
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\helpers\_stretched-link.scss", "SCSS", 0, 0, 0, 0, 0, 0, 11, 0, 3, 2, 16
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\helpers\_text-truncation.scss", "SCSS", 0, 0, 0, 0, 0, 0, 3, 0, 3, 2, 8
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\helpers\_visually-hidden.scss", "SCSS", 0, 0, 0, 0, 0, 0, 4, 0, 3, 2, 9
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_alert.scss", "SCSS", 0, 0, 0, 0, 0, 0, 8, 0, 2, 2, 12
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_border-radius.scss", "SCSS", 0, 0, 0, 0, 0, 0, 63, 0, 5, 11, 79
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_box-shadow.scss", "SCSS", 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_breakpoints.scss", "SCSS", 0, 0, 0, 0, 0, 0, 73, 0, 44, 11, 128
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 104, 0, 16, 14, 134
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_caret.scss", "SCSS", 0, 0, 0, 0, 0, 0, 55, 0, 2, 8, 65
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_clearfix.scss", "SCSS", 0, 0, 0, 0, 0, 0, 7, 0, 2, 1, 10
